,content,score,clean_text,sentiment,sentiment_label
13,"kerenn, semoga aplikasi nya bisa berkembang supaya masyarakat indonesia bisa lebih peka terhadap polusi udara",5,kerenn berkembang masyarakat indonesia peka polusi udara,0.0,netral
14,Bagus perlu dikembangkan lagi ke dlm aplikasi kebencanaan dlm hal pemantauan,5,dikembangkan dlm kebencanaan dlm pemantauan,0.0,netral
15,Tiga dulu nanti tak kasih 7 biar nggk masuk angin,3,kasih 7 nggk masuk angin,0.0,netral
16,Download ini buat cek polusi bandung dan sekita rumah saya,5,download polusi bandung sekita rumah,0.0,netral
17,Bangka belitung blom ada APLIKASI SANGAT GA GUNA,1,bangka belitung blom ga,0.0,netral
18,"Cuma di daerah kota kota besar , kalo daerah terpencil tidak ada.",1,kalo terpencil,0.0,netral
19,Lg coba,5,lg coba,0.0,netral
20,Aplikasi yg sangat bagus dan membantu dalam melihat kualitas udara. Semoga kedepannya semakin banyak titik sensor udara dikota lainnya.,5,kualitas udara kedepannya titik sensor udara dikota,0.0,netral
21,Sangat membantu,5,,0.0,netral
22,Mantap,5,mantap,0.0,netral
23,bagus,5,,0.0,netral
24,"Pencariannya ngebug Gak nampil, padahal sebelum diupdate pencarian masih nampil",3,pencariannya ngebug nampil diupdate pencarian nampil,0.0,netral
25,Pencarian alamat tidak berfungsi,2,pencarian alamat berfungsi,0.0,netral
26,lokal pride,5,lokal pride,0.34,positif
27,Sangat rekomendat dan berguna banget,5,rekomendat berguna banget,0.0,netral
28,👍🤪,5,,0.0,netral
29,"Dibanyakin lagi dong sensornya di bogor kabupaten belum semuanya dipasang,sukses selalu nafas dan selalu bermanfaat...",4,dibanyakin sensornya bogor kabupaten dipasangsukses nafas bermanfaat,0.0,netral
30,Bagus bisa cek titik AQMS terdekat,4,titik aqms terdekat,0.0,netral
31,"Bagus dan menarik, sayang nya hanya untuk kota kota besar. Daerah terpencil seperti cikampek jatisari mana ada data nya🤣",5,menarik sayang terpencil cikampek jatisari data,0.0,netral
32,Tidak bisa mengubah alamat,1,mengubah alamat,0.0,netral
33,Apakah ada biaya untuk menjadi host (pasang sensor) ? Atau free ? Apa hanya menyediakan aliran listrik saja ?,4,biaya host pasang sensor free menyediakan aliran listrik,0.5106,positif
34,Semoga bermanfaat,5,bermanfaat,0.0,netral
35,Bagus,5,,0.0,netral
36,Termasuk bagus,5,,0.0,netral
37,Jangan tulis Indonesia kalau jangkauannya belum se-Indonesia Menyesatkan,1,tulis indonesia jangkauannya seindonesia menyesatkan,0.0,netral
38,Good,5,good,0.4404,positif
39,Bagaimana cara mengetahui suatu daerah udaranya bagus atau tidaknya ?,4,udaranya tidaknya,0.0,netral
40,Membantu,5,,0.0,netral
41,"Semoga sensor kualitas udaranya makin banyak, aplikasinya makin simpel dan makin akurat 24 jam. Sukses terus ya...",5,sensor kualitas udaranya aplikasinya simpel akurat 24 jam sukses ya,0.0,netral
42,"Aplikasi yang bermanfaat untuk mengetahui kualitas udara, semoga di Cianjur bisa dipasang sensornya",5,bermanfaat kualitas udara cianjur dipasang sensornya,0.0,netral
43,Makassar blm bsa 😴,1,makassar blm bsa,0.0,netral
44,"Kok sy g bisa daftar trs ya? Pdhl email udh bener, tapi sll dijawab email gak valid 😔",4,sy g daftar trs ya email udh bener sll email valid,0.0,netral
45,"Bagus, saya sudah mendaftar untuk area delitua sumatera utara. Menunggu approve",5,mendaftar area delitua sumatera utara menunggu approve,0.0,netral
46,Nice,5,nice,0.4215,positif
47,Tidak support sukabumi pelabuhan ratu,1,support sukabumi pelabuhan ratu,0.4019,positif
48,"Bagus cuma belum untuk seluruh wilayah Indonesia, Balikpapan Kalimantan timur belum ada ..",4,wilayah indonesia balikpapan kalimantan timur,0.0,netral
49,Ok,5,ok,0.296,positif
50,gillls bagus bet,5,gillls bet,0.0,netral
51,(opsional),5,opsional,0.0,netral
52,Ipan susanto @,5,ipan susanto,0.0,netral
53,Mantab dapat memberikan informasi kualitas udara di lingkungan sekitar kita,5,mantab informasi kualitas udara lingkungan,0.0,netral
54,"Aplikasi nafas hubungan pandemi covid 19 saya mana mungkin harus bayar ke alfamart langsung berbahaya kan ledakan kubus buah,aplikasi remot tv juga harus bayar langsung ke alfamart berbahaya pakai masker ngap fresh care path aroma terapi untuk masker",5,nafas hubungan pandemi covid 19 bayar alfamart langsung ledakan kubus buahaplikasi remot tv bayar langsung alfamart pakai masker ngap fresh care path aroma terapi masker,0.6705,positif
55,Jadi host perlu beli alatnya atau dikirim gratis?,5,host beli alatnya dikirim gratis,0.0516,positif
56,Semoga bermanfaat,3,bermanfaat,0.0,netral
57,Semoga kedepannya jangkauan daerahnya lebih luas yaa.. di Makassar belum ada 😊,4,kedepannya jangkauan daerahnya luas yaa makassar,0.0,netral
58,"Sudah download tpi ngk guna, daerah sulawesi blm ada yg bisa di cek",1,download tpi ngk sulawesi blm,0.0,netral
59,"tolong upgrade lagi, di daerah saya belum ada informasinya, terima kasih 🙏🙏",4,tolong upgrade informasinya terima kasih,0.0,netral
60,One of the best applications in play store,5,one of the best applications in play store,0.765,positif
61,Good measurement & suggestions,4,good measurement suggestions,0.4404,positif
62,"Gps ga akurat ,tinggal di Bandung tengah malah meleset ke Bandung Selatan",1,gps ga akurat tinggal bandung meleset bandung selatan,0.0,netral
63,"Halo kak, terima kasih telah membuat aplikasi yang bagus ini. Apl nya sangat membantu namun masih belum terjangkaunya di kota saya. Masih perlu adanya pengembangan lehih lanjut di kota kota lain nya. Solusi nya mungkin bisa bekerja sama dengan pemda setempat untuk melakukan pengemnangan di kota kota lain. Pemasangan alat di beberapa tempat vital di kota lain. Semoga depelovmen apl dspat selalu mengemangkan dan selalu mendapatkan ide kreatif. Semangat kak pasti bisa!",4,halo kak terima kasih apl terjangkaunya pengembangan lehih solusi pemda pengemnangan pemasangan alat vital depelovmen apl dspat mengemangkan ide kreatif semangat kak,0.296,positif
64,Kalau bisa seluruh provinsi Indonesia di masukkan datanya. Kami orang di Kalimantan Utara tapi fitur Lokasi yang terdekat kerambang selatan🤦🏻‍♂️ Kan tidak nyambung. Kami orang Kalimantan juga pengen tau kualitas udara sekitar kami.,3,provinsi indonesia masukkan datanya orang kalimantan utara fitur lokasi terdekat kerambang selatan nyambung orang kalimantan pengen tau kualitas udara,0.0,netral
65,Kurang widget aja nih biar bisa liat tanpa perlu buka aplikasi,4,widget aja nih liat buka,0.0,netral
66,"Bagus, membantu dalam mengetahui kualitas udara dimana kita berada",4,kualitas udara dimana,0.0,netral
67,Daerah saya belum dilayani,3,dilayani,0.0,netral
68,"Saya suka aplikasi ini, bisa mengecek kondisi polusi di mana mana, namun. Hanya ada 1 masalah yang saya butuhkan. Yaitu penambahan kabupaten Tuban, asal rumah saya. Saya butuh infomarsi polusi di sekitar rumah saya. Salam dari Raissa. Tolonh di upgrade lagi",5,suka mengecek kondisi polusi 1 butuhkan penambahan kabupaten tuban rumah butuh infomarsi polusi rumah salam raissa tolonh upgrade,0.0,netral
69,Jelek,1,jelek,0.0,netral
70,super app. thanks.,5,super app thanks,0.7783,positif
71,"Saya lebih percaya aplikasi ini, apa yang dinyatakan sesuai dengan kondisi hidung alergi saya..",5,percaya dinyatakan sesuai kondisi hidung alergi,0.0,netral
72,Agung.gunawan,5,agunggunawan,0.0,netral
73,"Masih banyak daerah yg belum dilayani,aplikasi yg sangat butut.",1,dilayaniaplikasi butut,0.0,netral
74,Mohon dipasang di daerah Makassar dn kota lainnya,5,mohon dipasang makassar dn,0.0,netral
75,Cool app but i hope this developer bring intuitive ui and ux for large screen like foldable and tablet,5,cool app but i hope this developer bring intuitive ui and ux for large screen like foldable and tablet,0.8294,positif
76,Pretlah. Belum dilayani. Sia sia install aplilasi ini.,1,pretlah dilayani sia sia install aplilasi,0.0,netral
77,Update bnyak fitur jarak kota tinggal dan kota kita tuju ....,4,update bnyak fitur jarak tinggal tuju,0.0,netral
78,Sidoarjo GK ada!!! Cuma kota besar doang yang ada,1,sidoarjo gk doang,0.0,netral
79,Update,5,update,0.0,netral
80,"Daerah Namorambe belum di layani, Deli Serdang Sumatera Utara kualitas udaranya bagus,,",3,namorambe layani deli serdang sumatera utara kualitas udaranya,0.0,netral
81,Palembang belom ada,1,palembang belom,0.0,netral
82,Semarang harus dipasang,5,semarang dipasang,0.0,netral
83,Aplikasi gak guna. Masa cakupan nya daerah jakarta,1,cakupan jakarta,0.0,netral
84,Bagus,5,,0.0,netral
85,Good app,5,good app,0.4404,positif
86,Saya tau dari chanel asumsi,5,tau chanel asumsi,0.0,netral
87,"Tambah kota nya dong, cakup semua provinsi",4,cakup provinsi,0.0,netral
88,Tambahin kota lain,5,tambahin,0.0,netral
89,Saya tidak bisa mendaftar,3,mendaftar,0.0,netral
90,Gara gara Asumsi saya kesini,5,gara gara asumsi kesini,0.0,netral
91,Terimakasih udh dibuat apk ini Karena bermanfaat bgt buat ngecek kualitas udara pas mau sepedaan. Semoga ditambah lgi lokasi² yg belum terjangkau,5,terimakasih udh apk bermanfaat bgt ngecek kualitas udara pas sepedaan ditambah lgi lokasi² terjangkau,0.0,netral
